title,year
My Chauffeur,1986
The Son of the Sheik,1926
Torso,1973
True Grit,1969
Roadside Prophets,1992
Madame Sousatzka,1988
Max Dugan Returns,1983
Midnight Express,1978
Misery,1990
Mr. Saturday Night,1992
Murphy's Romance,1985
My Life,1993
Solaris,1972
Network,1976
No Way Out,1987
North Dallas Forty,1979
The Odd Couple,1968
The Outlaw Josey Wales,1976
Black and White,1999
Frequency,2000
Ready to Rumble,2000
Return to Me,2000
Rules of Engagement,2000
Joe Gould's Secret,2000
Me Myself I,2000
"Bell, Book and Candle",1958
The Bells,1926
The End of Violence,1997
Force 10 from Navarone,1978
How to Stuff a Wild Bikini,1965
Mystery Train,1989
Sacco & Vanzetti,1971
Taffin,1988
Arthur,1981
Bachelor Party,1984
Parenthood,1989
Predator,1987
The Prince of Tides,1991
The Postman Always Rings Twice,1981
Smoking / No Smoking,1993
All the Vermeers in New York,1990
An Actor's Revenge,1963
28 Days,2000
American Psycho,2000
Keeping the Faith,2000
Where the Money is,2000
East Is East,1999
The Filth and the Fury,2000
Passion of Mind,2000
Third World Cop,1999
Coming Apart,1969
Diner,1982
Shakes the Clown,1991
Cabaret,1972
What Ever Happened to Baby Jane?,1962
Prick Up Your Ears,1987
Auntie Mame,1958
Guys and Dolls,1955
The Hunger,1983
Marathon Man,1976
Caddyshack,1980
Gossip,2000
Love & Basketball,2000
U-571,2000
The Virgin Suicides,1999
Jennifer Eight,1992
The Law,1959
Limelight,1952
Empire of Passion,1978
Stacy's Knights,1983
Committed,2000
The Crow: Salvation,2000
The Flintstones in Viva Rock Vegas,2000
Where the Heart Is,2000
The Big Kahuna,2000
Bossa Nova,2000
Smiling Fish & Goat On Fire,1999
The Idiots,1998
The Last September,2000
Timecode,2000
Carnosaur,1993
Carnosaur 2,1995
Carnosaur 3: Primal Species,1996
Defying Gravity,1997
The Hidden,1987
Two Moon Junction,1988
Gladiator,2000
I Dreamed of Africa,2000
Up at the Villa,2000
Human Traffic,1999
Black Tights,1962
Breathless,1983
The Great Locomotive Chase,1956
The Idolmaker,1980
Inferno,1980
The King of Marvin Gardens,1972
"The Nibelungs, Tale 1: Siegfried",1966
The Lords of Flatbush,1974
Mr. Mom,1983
Time Masters,1982
Battlefield Earth,2000
Center Stage,2000
Held Up,1999
Screwed,2000
Whipped,2000
Hamlet,2000
Anchors Aweigh,1945
Blue Hawaii,1961
The Castaway Cowboy,1974
G.I. Blues,1960
The Gay Deceivers,1969
Gypsy,1962
King Creole,1958
On the Town,1949
One Little Indian,1973
Pee-wee's Big Adventure,1985
Regret to Inform,1999
Roustabout,1964
Saludos Amigos,1942
The Slipper and the Rose,1976
Things Change,1988
Honeymoon in Vegas,1992
Dinosaur,2000
Loser,2000
Road Trip,2000
Small Time Crooks,2000
The Hollywood Knights,1980
The Myth Of Fingerprints,1997
Possession,1981
The Twelve Chairs,1970
Mission: Impossible II,2000
Shanghai Noon,2000
Better Living Through Circuitry,1999
8 ½ Women,1999
Carnival of Souls,1962
Flying Tigers,1942
The Gold Rush,1925
Lisa and the Devil,1973
It's in the Water,1997
Monsieur Verdoux,1947
On Her Majesty's Secret Service,1969
Seven Days in May,1964
The Spy Who Loved Me,1977
Those Who Love Me Can Take the Train,1998
Vagabond,1985
Moonraker,1979
The Man with the Golden Gun,1974
A King in New York,1957
A Woman of Paris,1923
In Old California,1942
The Fighting Seabees,1944
Dark Command,1940
Cléo from 5 to 7,1962
Big Momma's House,2000
Running Free,1999
The Abominable Snowman,1957
American Gigolo,1980
Anguish,1987
The Blood Spattered Bride,1972
City of the Living Dead,1980
The Endless Summer,1966
The Guns of Navarone,1961
La Grande Bouffe,1973
Lured,1947
Pandora and the Flying Dutchman,1951
Quatermass and the Pit,1967
Quatermass II,1957
Puppet Master,1989
Puppet Master II,1990
Puppet Master III Toulon's Revenge,1991
Puppet Master 4,1993
Puppet Master 5: The Final Chapter,1994
Curse of the Puppet Master,1998
Retro Puppet Master,1999
Rent-a-Cop,1987
Romeo and Juliet,1968
Stay Tuned,1992
The Story of G.I. Joe,1945
Blazing Saddles,1974
Benji,1974
Benji the Hunted,1987
For the Love of Benji,1977
White Christmas,1954
Eraserhead,1977
Baraka,1992
The Man with the Golden Arm,1955
The Decline of Western Civilization,1981
The Decline of Western Civilization Part II: The Metal Years,1988
For a Few Dollars More,1965
Magnum Force,1973
Blood Simple,1984
The Fabulous Baker Boys,1989
Prizzi's Honor,1985
Flatliners,1990
Gandahar,1987
Porky's,1981
Porky's II: The Next Day,1983
Porky's 3: Revenge,1985
Private School,1983
Class of Nuke 'Em High,1986
The Toxic Avenger,1984
The Toxic Avenger Part II,1989
The Toxic Avenger Part III: The Last Temptation of Toxie,1989
Night of the Creeps,1986
Predator 2,1990
The Running Man,1987
Starman,1984
The Brother from Another Planet,1984
Alien Nation,1988
Mad Max,1979
Mad Max 2: The Road Warrior,1981
Mad Max Beyond Thunderdome,1985
Bird on a Wire,1990
Angel Heart,1987
Nine 1/2 Weeks,1986
Firestarter,1984
Sleepwalkers,1992
Action Jackson,1988
Sarafina!,1992
Soapdish,1991
The Long Walk Home,1990
Clara's Heart,1988
Burglar,1987
Fatal Beauty,1987
Gone in Sixty Seconds,2000
American Pimp,1999
Love's Labour's Lost,2000
Sunshine,1999
Trixie,2000
American Virgin,2000
Hamlet,1990
Coming Home,1978
American Pop,1981
Assault on Precinct 13,1976
Near Dark,1987
One False Move,1992
Shaft,1971
The Conversation,1974
Cutter's Way,1981
The Fury,1978
The Paper Chase,1973
Prince of the City,1981
Serpico,1973
Ace in the Hole,1951
Lonely Are the Brave,1962
The Sugarland Express,1974
Trouble in Paradise,1932
Big Trouble in Little China,1986
Badlands,1973
Battleship Potemkin,1925
Boys and Girls,2000
Shaft,2000
Titan A.E.,2000
Butterfly,1999
Jesus' Son,1999
The Match,1999
Time Regained,1999
Chicken Run,2000
"Me, Myself & Irene",2000
The Patriot,2000
The Adventures of Rocky & Bullwinkle,2000
The Perfect Storm,2000
The Golden Bowl,2000
Asylum,1972
Communion,1989
Fun & Fancy Free,1947
The Kentucky Fried Movie,1977
Bound by Honor,1993
Daughter of Dr. Jekyll,1957
F/X,1986
F/X2,1991
The Hot Spot,1990
Missing in Action,1984
Missing in Action 2: The Beginning,1985
Braddock: Missing in Action III,1988
Thunderbolt and Lightfoot,1974
Dreamscape,1984
The Golden Voyage of Sinbad,1973
Hatchet for the Honeymoon,1970
House Party,1990
House Party 2,1991
Make Mine Music,1946
Melody Time,1948
Nekromantik,1987
On Our Merry Way,1948
Project Moon Base,1953
Rocketship X-M,1950
Shaft in Africa,1973
Shaft's Big Score!,1972
Croupier,1998
The Kid,2000
Scary Movie,2000
But I'm a Cheerleader,1999
Shower,1999
Blow-Up,1966
The Pawnbroker,1965
Groove,2000
Footloose,1984
Duel in the Sun,1946
X-Men,2000
Chuck & Buck,2000
The Five Senses,1999
The Wisdom of Crocodiles,1998
The In Crowd,2000
What Lies Beneath,2000
Pokémon: The Movie 2000,1999
Criminal Lovers,1999
Anatomy of a Murder,1959
Freejack,1992
Greaser's Palace,1972
H.O.T.S.,1979
Knightriders,1981
Mackenna's Gold,1969
Sinbad and the Eye of the Tiger,1977
Two Women,1960
What About Bob?,1991
White Sands,1992
Breaker Morant,1980
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972
Interiors,1978
Love and Death,1975
The Official Story,1985
The Other Side of Sunday,1996
Pot o' Gold,1941
Tampopo,1985
Thomas and the Magic Railroad,2000
Nutty Professor II: The Klumps,2000
The Girl on the Bridge,1999
Wonderland,1999
Autumn in New York,2000
Coyote Ugly,2000
Hollow Man,2000
Space Cowboys,2000
Better Living,1998
Mad About Mambo,2000
Psycho Beach Party,2000
Saving Grace,2000
Black Sabbath,1963
The Brain That Wouldn't Die,1962
Bronco Billy,1980
The Crush,1993
Kelly's Heroes,1970
Phantasm II,1988
Phantasm III: Lord of the Dead,1994
Phantasm IV: Oblivion,1998
Pumpkinhead,1988
Air America,1990
Sleepaway Camp,1983
Steel Magnolias,1989
...And God Created Woman,1956
Easy Money,1983
Ilsa: She Wolf of the SS,1975
Silent Fall,1994
The Spiral Staircase,1946
What Ever Happened to Aunt Alice?,1969
Margaret Cho: I'm the One That I Want,2000
The Tao of Steve,2000
The Tic Code,2000
Aimee & Jaguar,1999
An Affair of Love,1999
The Autumn Heart,1999
Bless the Child,2000
Cecil B. Demented,2000
The Eyes of Tammy Faye,2000
The Opportunists,2000
The Replacements,2000
About Adam,2000
The Cell,2000
Godzilla 2000,1999
The Original Kings of Comedy,2000
Sunset Strip,2000
All the Rage,1999
The Naked Gun: From the Files of Police Squad!,1988
The Naked Gun 2½: The Smell of Fear,1991
Our Town,1940
Shane,1953
"Suddenly, Last Summer",1959
Cat Ballou,1965
A Couch in New York,1996
The Devil Rides Out,1968
Jerry and Tom,1998
Supergirl,1984
X: The Unknown,1956
The Art of War,2000
The Ballad of Ramblin' Jack,2000
Phish: Bittersweet Motel,2000
Bring It On,2000
Catfish in Black Bean Sauce,2000
The Crew,2000
Love & Sex,2000
Steal This Movie,2000
Went to Coney Island on a Mission from God... Be Back by Five,1998
Skipped Parts,2000
Highlander: Endgame,2000
Backstage,2000
Turn It Up,2000
Anatomy,2000
Nurse Betty,2000
Alone,1999
The Watcher,2000
The Way of the Gun,2000
Almost Famous,2000
Bait,2000
Circus,2000
Crime + Punishment in Suburbia,2000
Duets,2000
Goya in Bordeaux,1999
Urbania,2000
Uninvited Guest,1999
The Specials,2000
Under Suspicion,2000
Prince of Central Park,2000
Urban Legends: Final Cut,2000
Woman on Top,2000
Dancer in the Dark,2000
Best in Show,2000
Beautiful,2000
Barenaked in America,1999
The Broken Hearts Club: A Romantic Comedy,2000
Girlfight,2000
Remember the Titans,2000
Hellraiser,1987
Hellbound: Hellraiser II,1988
Hellraiser III: Hell on Earth,1992
"Faraway, So Close!",1993
Beach Party,1963
Bikini Beach,1964
Return of the Fly,1959
Pajama Party,1964
Stranger Than Paradise,1984
Voyage to the Bottom of the Sea,1961
Fantastic Voyage,1966
Abbott and Costello Meet Frankenstein,1948
The Bank Dick,1940
Creature from the Black Lagoon,1954
The Giant Gila Monster,1959
The Invisible Man,1933
The Killer Shrews,1959
Kronos,1957
Phantom of the Opera,1943
Runaway,1984
The Slumber Party Massacre,1982
Slumber Party Massacre II,1987
Slumber Party Massacre III,1990
Sorority House Massacre,1986
Sorority House Massacre II,1990
Bamboozled,2000
Bootmen,2000
Digimon: The Movie,2000
Get Carter,2000
Get Carter,1971
Meet the Parents,2000
Requiem for a Dream,2000
Tigerland,2000
Two Family House,2000
The Contender,2000
Dr. T and the Women,2000
Just Looking,1999
The Ladies Man,2000
Lost Souls,2000
Billy Jack,1971
Billy Jack Goes to Washington,1977
The Time Machine,1960
Haunted,1995
Ghoulies,1984
Ghoulies II,1987
The Unsinkable Molly Brown,1964
The Adventures of Ichabod and Mr. Toad,1949
The Strange Love of Martha Ivers,1946
Detour,1945
Billy Elliot,2000
Bedazzled,2000
Pay It Forward,2000
The Beyond,1981
The Private Eyes,1980
The Legend of Drunken Master,1994
Book of Shadows: Blair Witch 2,2000
The Little Vampire,2000
Lucky Numbers,2000
Stardom,2000
Charlie's Angels,2000
The Legend of Bagger Vance,2000
Little Nicky,2000
Men of Honor,2000
Red Planet,2000
What's Cooking?,2000
You Can Count on Me,2000
Diamonds Are Forever,1971
The Eagle Has Landed,1976
The 6th Day,2000
Bounce,2000
How the Grinch Stole Christmas,2000
One Day in September,1999
Rugrats in Paris: The Movie,2000
102 Dalmatians,2000
Malena,2000
Quills,2000
Unbreakable,2000
Boys Life 3,2000
"Crouching Tiger, Hidden Dragon",2000
Dungeons & Dragons,2000
Proof of Life,2000
Vertical Limit,2000
The Bounty,1984
Code of Silence,1985
"Planes, Trains and Automobiles",1987
She's Having a Baby,1988
Secrets of the Heart,1997
The Living Daylights,1987
The Transformers: The Movie,1986
Wall Street,1987
Born on the Fourth of July,1989
Talk Radio,1988
Brewster's Millions,1985
Snatch,2000
Punchline,1988
Mr Accident,2000
Chocolat,2000
"Dude, Where’s My Car?",2000
The Emperor's New Groove,2000
Pollock,2000
What Women Want,2000
Finding Forrester,2000
The Gift,2000
Before Night Falls,2000
Cast Away,2000
The Family Man,2000
The House of Mirth,2000
Miss Congeniality,2000
Nowhere to Hide,1999
"O Brother, Where Art Thou?",2000
Songcatcher,2001
State and Main,2000
Dracula 2000,2000
All the Pretty Horses,2000
An Everlasting Piece,2000
Thirteen Days,2000
Traffic,2000
The Claim,2000
Shadow of the Vampire,2000
House of Games,1987
Kill Me Again,1989
Annie,1982
Don't Tell Mom the Babysitter's Dead,1991
An Officer and a Gentleman,1982
The Alamo,1960
At Close Range,1986
Breaker! Breaker!,1977
Breakheart Pass,1975
Friendly Persuasion,1956
Gettysburg,1993
Imaginary Crimes,1994
Rancho Deluxe,1975
The St  Francisville Experiment,2000
Antitrust,2001
Double Take,2001
Save the Last Dance,2001
Panic,2000
The Pledge,2001
Kids World,2001
The Personals,1998
The Amati Girls,2001
Love Field,1992
The Man in the Moon,1991
Mystic Pizza,1988
Prelude to a Kiss,1992
Coffy,1973
Foxy Brown,1974
I'm Gonna Git You Sucka,1988
Untamed Heart,1993
Sugar & Spice,2001
The Wedding Planner,2001
Amy,1997
Dog Run,2001
Faithless,2000
The Invisible Circus,2001
The Legend of Rita,2000
A Monkey's Tale,1999
Two Ninas,2000
"Harry, He's Here To Help",2000
Amazing Grace and Chuck,1987
Amazon Women on the Moon,1987
Baby Boom,1987
Back to the Beach,1987
Barfly,1987
Best Seller,1987
Beverly Hills Cop II,1987
Beverly Hills Cop,1984
The Big Easy,1986
Big Shots,1987
The Big Town,1987
Born in East L.A.,1987
The Brave Little Toaster,1987
Can't Buy Me Love,1987
Cherry 2000,1987
Cop,1988
Critical Condition,1987
Cry Freedom,1987
Curse,1987
Dead of Winter,1987
The Dead,1987
Death Before Dishonor,1987
Disorderlies,1987
Dogs in Space,1986
Eddie Murphy Raw,1987
Empire of the Sun,1987
Ernest Goes to Camp,1987
The Evil Dead,1981
Extreme Prejudice,1987
Family Viewing,1987
Five Corners,1987
Flowers in the Attic,1987
The Fourth Protocol,1987
Gardens of Stone,1987
Julia and Julia,1987
The Glass Menagerie,1987
"Good Morning, Babylon",1987
Hiding Out,1987
Hollywood Shuffle,1987
Hope and Glory,1987
Hot Pursuit,1987
Housekeeping,1987
Hunk,1987
Innerspace,1987
Ironweed,1987
Ishtar,1987
Jaws: The Revenge,1987
Leonard Part 6,1987
Less Than Zero,1987
Like Father Like Son,1987
The Lost Boys,1987
Made in Heaven,1987
Maid to Order,1987
Making Mr. Right,1987
Mannequin,1987
Masters of the Universe,1987
Million Dollar Mystery,1987
The Monster Squad,1987
A Month in the Country,1987
Morgan Stewart's Coming Home,1987
My Demon Lover,1987
No Man's Land,1987
North Shore,1987
Head Over Heels,2001
Left Behind,2000
Valentine,2001
In the Mood for Love,2000
Fever,1999
The Million Dollar Hotel,2000
Nico and Dani,2000
Hannibal,2001
Saving Silverman,2001
Signs & Wonders,2001
The Taste of Others,2000
Vatel,2000
Down to Earth,2001
Recess: School's Out,2001
Sweet November,2001
Company Man,2000
The Price of Milk,2000
Monkeybone,2001
3000 Miles to Graceland,2001
The Widow of Saint-Pierre,2000
The Mexican,2001
See Spot Run,2001
Carman: The Champion,2001
The Caveman's Valentine,2001
"Me, You, Them",2000
Series 7: The Contenders,2001
15 Minutes,2001
Get Over It,2001
Blow Dry,2001
Hit and Runway,1999
Long Night's Journey Into Day,2000
Simon Magus,1999
When Brendan Met Trudy,2000
Avalon,1990
Gray's Anatomy,1996
Madadayo,1993
The Mirror Crack'd,1980
Of Mice and Men,1939
Pixote,1981
Reform School Girls,1986
Tapeheads,1988
Tuff Turf,1985
The Unbelievable Truth,1989
The Bishop's Wife,1947
Elvis That's the Way It Is,1970
The Fortune Cookie,1966
Lilies of the Field,1963
Hans Christian Andersen,1952
The Greatest Story Ever Told,1965
Elmer Gantry,1960
Alfie,1966
Demetrius and the Gladiators,1954
The Fantasticks,1995
I Know Where I'm Going!,1945
The Abominable Dr. Phibes,1971
"Die, Monster, Die!",1965
Real Life,1979
Battle Beyond the Stars,1980
Death Warrant,1990
Double Impact,1991
The End,1978
Fuzz,1972
Harley Davidson and the Marlboro Man,1991
Losin' It,1983
Mermaids,1990
The Mighty Quinn,1989
Unmade Beds,1997
Rated X,2000
Manhunter,1986
Reversal of Fortune,1990
Death on the Nile,1978
DeepStar Six,1989
Revenge of the Nerds,1984
Revenge of the Nerds II: Nerds in Paradise,1987
Longtime Companion,1990
4 Little Girls,1997
River's Edge,1986
Girls Just Want to Have Fun,1985
The Longest Yard,1974
Necessary Roughness,1991
C.H.U.D.,1984
Enemy at the Gates,2001
Exit Wounds,2001
The Dish,2000
Memento,2000
The Brothers,2001
Heartbreakers,2001
Say It Isn't So,2001
Too Much Sleep,1997
Someone Like You...,2001
Spy Kids,2001
Tomcats,2001
The Tailor of Panama,2001
Amores perros,2000
Keep the River on Your Right: A Modern Cannibal Tale,2000
The Gleaners & I,2000
Along Came a Spider,2001
Blow,2001
Just Visiting,2001
Pokémon: Spell of the Unknown,2000
Beautiful Creatures,2000
Brigham City,2001
The Day I Became a Woman,2000
Shadow Magic,2000
Bridget Jones's Diary,2001
Joe Dirt,2001
Josie and the Pussycats,2001
Kingdom Come,2011
The Body,2001
Chopper,2000
The Circle,2000
Lakeboat,2000
Crocodile Dundee in Los Angeles,2001
Freddy Got Fingered,2001
The Center of the World,2001
The Girl,2001
The Low Down,2001
The Luzhin Defence,2000
The Visit,2000
Lilies,1996
Scarface,1983
Days of Wine and Roses,1962
Driven,2001
The Forsaken,2001
One Night at McCool's,2001
Town & Country,2001
Rat,2001
The Mummy Returns,2001
Eureka,2000
Tuvalu,1999
Under the Sand,2000
Cleopatra,1963
Krull,1983
Lost in America,1985
The Lost World,1925
Triumph of the Will,1935
True Believer,1989
The World According to Garp,1982
Candy,1968
Fellini Satyricon,1969
Roma,1972
Frankie and Johnny,1966
Frankie and Johnny,1991
A Home of Our Own,1993
Paris When It Sizzles,1964
Pola X,1999
City of Women,1980
For the Boys,1991
Nine to Five,1980
Norma Rae,1979
Summer Rental,1985
"The 5,000 Fingers of Dr. T.",1953
Catchfire,1990
Love Story,1970
Pelle the Conqueror,1987
Rififi,1955
A Knight's Tale,2001
Bread and Roses,2000
Calle 54,2000
The King Is Alive,2000
Sordid Lives,2001
Startup.com,2001
Angel Eyes,2001
Shrek,2001
Fast Food Fast Women,2000
Moulin Rouge!,2001
Little Brothers,1999
Pearl Harbor,2001
Bloody Angels,1998
Himalaya,1999
The Man Who Cried,2000
Our Song,2000
Gabriela,2001
Ice Castles,1978
Love Potion No. 9,1992
Postcards from the Edge,1990
Apache,1954
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976
City Slickers,1991
Eight Men Out,1988
The Horse Soldiers,1959
The Kentuckian,1955
La Notte,1961
Mississippi Burning,1988
The Magnificent Seven,1960
Return of the Seven,1966
Rio Bravo,1959
The Scarlet Empress,1934
Semi-Tough,1977
Suspect,1987
Throw Momma from the Train,1987
Yi Yi,2000
Midnight Madness,1980
Nightwatch,1994
The Sand Pebbles,1966
Twelve O'Clock High,1949
Von Ryan's Express,1965
The Animal,2001
What's the Worst That Could Happen?,2001
Big Eden,2000
Evolution,2001
Swordfish,2001
The Anniversary Party,2001
Bride of the Wind,2001
Divided We Fall,2000
Whatever Happened to Harold Smith?,2000
Catch-22,1970
Forgotten Silver,1995
Point Break,1991
Shag,1989
Uncommon Valor,1983
Unlawful Entry,1992
Youngblood,1986
Gentlemen Prefer Blondes,1953
How to Marry a Millionaire,1953
Macabre,1958
The Seven Year Itch,1955
There's No Business Like Show Business,1954
Tootsie,1982
The Boys Next Door,1985
Too Late the Hero,1970
The Trio,1998
Pavilion of Women,2001
Atlantis: The Lost Empire,2001
Lara Croft: Tomb Raider,2001
Dr. Dolittle 2,2001
The Fast and the Furious,2001
A.I. Artificial Intelligence,2001
Baby Boy,2001
Crazy/Beautiful,2001
Pootie Tang,2001
Snow days,1999
Funny Felix,2000
Down from the Mountain,2001
Russian Doll,2001
Sexy Beast,2000
"South of Heaven, West of Hell",2000
The Princess and the Warrior,2000
The Closet,2001
Wolves,1999
The Crimson Rivers,2000
Lumumba,2000
Pandaemonium,2001
Cats & Dogs,2001
Kiss of the Dragon,2001
Scary Movie 2,2001
Lost and Delirious,2001
Baise-moi,2000
The Vertical Ray of the Sun,2000
Alice,1990
Another Woman,1988
Beach Blanket Bingo,1965
Big Deal on Madonna Street,1958
The Cannonball Run,1981
Cannonball Run II,1984
Speed Zone,1989
Diary of a Chambermaid,1964
Donovan's Brain,1953
Donovan's Reef,1963
Dr. Goldfoot and the Bikini Machine,1965
House of Usher,1960
Faust,1926
The Last Laugh,1924
The Man Who Shot Liberty Valance,1962
Salvador,1986
September,1987
Shadows and Fog,1991
Something Wild,1986
The Sons of Katie Elder,1965
The Thing with Two Heads,1972
Village of the Giants,1965
X: The Man with the X-Ray Eyes,1963
Nice Dreams,1981
The Day the Earth Caught Fire,1961
The House by the Cemetery,1981
Things Are Tough All Over,1982
All That Heaven Allows,1955
The Barefoot Contessa,1954
The Blackout,1997
Cries and Whispers,1972
The Entertainer,1960
The Garden of the Finzi-Continis,1970
Howling III: The Marsupials,1987
Kiss Me Deadly,1955
The Lion in Winter,1968
The Misfits,1961
Moby Dick,1956
Popcorn,1991
Rembrandt,1936
Sweet Smell of Success,1957
Written on the Wind,1956
The 10th Victim,1965
Colonel Redl,1985
Obsession,1976
Suspiria,1977
Fist of Fury,1972
Christiane F.,1981
The Big Boss,1971
Game of Death,1978
The Last Dragon,1985
Outland,1981
The Way of the Dragon,1972
T-Rex: Back to the Cretaceous,1998
Final Fantasy: The Spirits Within,2001
Legally Blonde,2001
The Score,2001
Adanggaman,2000
Bully,2001
Jump Tomorrow,2001
Made,2001
Michael Jordan to the Max,2000
More,1998
Thrill Ride: The Science of Fun,1997
Haunted Castle,2001
All Access: Front Row. Backstage. Live!,2001
Africa: The Serengeti,1994
Alaska: Spirit of the Wild,1998
Encounter in the Third Dimension,1999
Siegfried & Roy: The Magic Box,1999
18 Again!,1988
1969,1988
The Accidental Tourist,1988
The Accused,1988
Above the Law,1988
The Adventures of Baron Munchausen,1988
Apartment Zero,1988
Appointment with Death,1988
Ariel,1988
Arthur 2: On the Rocks,1988
Bad Dreams,1988
Bat*21,1988
Beaches,1988
The Beast of War,1988
Big Business,1988
Big Top Pee-wee,1988
Biloxi Blues,1988
Bird,1988
The Blob,1988
The Boost,1988
"Bright Lights, Big City",1988
Caddyshack II,1988
Camille Claudel 1915,2013
Casual Sex?,1988
Clean and Sober,1988
Cocktail,1988
Colors,1988
Coming to America,1988
The Couch Trip,1988
Criminal Law,1988
Critters,1986
Critters 2,1988
Critters 3,1991
Crossing Delancey,1988
D.O.A.,1988
Dead Heat,1988
The Dead Pool,1988
Dirty Rotten Scoundrels,1988
Drowning by Numbers,1988
"Elvira, Mistress of the Dark",1988
Ernest Saves Christmas,1988
Everybody's All-American,1988
Feds,1988
For Keeps,1988
Frantic,1988
Fresh Horses,1988
Gorillas in the Mist,1988
The Great Outdoors,1988
Heartbreak Hotel,1988
High Spirits,1988
Hot to Trot,1988
The House on Carroll Street,1988
Howling IV: The Original Nightmare,1988
Imagine: John Lennon,1988
Johnny Be Good,1988
Lady in White,1988
The Lair of the White Worm,1988
The Land Before Time,1988
License to Drive,1988
Little Nikita,1988
Masquerade,1988
The Milagro Beanfield War,1988
Moon Over Parador,1988
Moving,1988
My Stepmother is an Alien,1988
A Night in the Life of Jimmy Reardon,1988
Off Limits,1988
Bagdad Cafe,1987
Permanent Record,1988
Red Heat,1988
Return of the Living Dead Part II,1988
The Return of the Living Dead,1985
Return to Snowy River,1988
The Man from Snowy River,1982
Rocket Gibraltar,1988
Running on Empty,1988
Salome's Last Dance,1988
Salsa,1988
Satisfaction,1988
The Serpent and the Rainbow,1988
Shakedown,1988
Shoot to Kill,1988
Short Circuit 2,1988
Short Circuit,1986
The Vanishing,1988
Stormy Monday,1988
Sunset,1988
Sweet Hearts Dance,1988
Switching Channels,1988
The Telephone,1988
Tetsuo: The Iron Man,1989
They Live,1988
To Kill a Priest,1988
Torch Song Trilogy,1988
Track 29,1988
Tucker: The Man and His Dream,1988
Twins,1988
Vice Versa,1988
Watchers,1988
Waxwork,1988
Without a Clue,1988
Young Einstein,1988
Always,1989
American Ninja,1985
American Ninja 2: The Confrontation,1987
American Ninja 3: Blood Hunt,1989
Best of the Best 2,1993
The Big Picture,1989
Bill & Ted's Excellent Adventure,1989
Black Rain,1989
Blaze,1989
Blind Fury,1989
Breaking In,1989
C.H.U.D. II: Bud the Chud,1989
Casualties of War,1989
Chances Are,1989
Cookie,1989
Cyborg,1989
Dad,1989
Dead Bang,1989
Disorganized Crime,1989
Dream a Little Dream,1989
The Dream Team,1989
A Dry White Season,1989
Earth Girls Are Easy,1988
Eddie and the Cruisers II: Eddie Lives!,1989
Eddie and the Cruisers,1983
Enemies: A Love Story,1989
Erik the Viking,1989
The Experts,1989
Family Business,1989
Farewell to the King,1989
Fat Man and Little Boy,1989
The Girl in a Swing,1988
Gleaming the Cube,1989
Going Overboard,1989
Great Balls of Fire!,1989
Gross Anatomy,1989
Happy Together,1989
Harlem Nights,1989
Her Alibi,1989
Homer and Eddie,1989
How to Get Ahead in Advertising,1989
Immediate Family,1989
In Country,1989
An Innocent Man,1989
Jacknife,1989
The January Man,1989
Johnny Handsome,1989
Jesus of Montreal,1989
K-9,1989
Kickboxer,1989
Last Exit to Brooklyn,1989
Lean On Me,1989
Let It Ride,1989
Leviathan,1989
Little Monsters,1989
Lock Up,1989
Look Who's Talking,1989
Loverboy,1989
Major League,1989
Meet the Feebles,1989
Millennium,1989
Miracle Mile,1989
Miss Firecracker,1989
New York Stories,1989
Next of Kin,1989
No Holds Barred,1989
Old Gringo,1989
The Package,1989
Parents,1989
Penn & Teller Get Killed,1989
Pink Cadillac,1989
The Punisher,1989
Red Scorpion,1988
Jurassic Park III,2001
America's Sweethearts,2001
Brother,2000
Ghost World,2001
Hedwig and the Angry Inch,2001
Planet of the Apes,2001
Bread and Tulips,2000
Cure,1997
Greenfingers,2001
Jackpot,2001
The Monkey's Mask,2000
Wet Hot American Summer,2001
Relentless,1989
Renegades,1989
The Return of Swamp Thing,1989
The Return of the Musketeers,1989
Road House,1989
Romero,1989
Rosalie Goes Shopping,1989
Rude Awakening,1989
Santa Sangre,1989
Scandal,1989
Scenes from the Class Struggle in Beverly Hills,1989
Sea of Love,1989
"See No Evil, Hear No Evil",1989
She's Out of Control,1989
Shirley Valentine,1989
Shocker,1989
Skin Deep,1989
Slaves of New York,1989
Some Girls,1988
Stepfather II: Make Room For Daddy,1989
The Stepfather,1987
Sweetie,1989
The Tall Guy,1989
Tango & Cash,1989
Tap,1989
Three Fugitives,1989
Troop Beverly Hills,1989
Turner & Hooch,1989
UHF,1989
Uncle Buck,1989
Vampire's Kiss,1988
The War of the Roses,1989
Warlock,1989
The Wizard,1989
Worth Winning,1989
Warlock: The Armageddon,1993
Weekend at Bernie's II,1993
Billy Liar,1963
Black Robe,1991
The Cat o' Nine Tails,1971
The Cotton Club,1984
Def-Con 4,1985
The Hotel New Hampshire,1984
Idiot Box,1996
Left Luggage,1998
Who'll Stop the Rain,1978
"Zorro, The Gay Blade",1981
Basket Case,1982
Orphans,1998
Original Sin,2001
The Princess Diaries,2001
Rush Hour 2,2001
Thomas in Love,2000
Chocolat,1988
Hatari!,1962
La Cage aux folles,1978
La Cage aux folles II,1980
Liebestraum,1991
Marat/Sade,1967
Paint Your Wagon,1969
The Shootist,1976
